ID,area_,bounds
170-40,97712175062.61884,"(170.0, -40.00000000000001, 180.00499999999997, -29.995000000000005)"
170-20,17816368410.204716,"(170.0, -20.0, 180.00499999999997, -9.995)"
170-10,29108426.87843814,"(170.0, -10.0, 180.00499999999997, 0.004999999999999999)"
1700,6705649.9481362235,"(170.0, 0.0, 180.00499999999997, 10.005000000000003)"
17050,2340667124.2773113,"(170.0, 49.99999999999999, 180.00499999999997, 60.00500000000001)"
17060,383748631856.3162,"(170.0, 59.99999999999999, 180.00499999999997, 70.005)"
17070,2737533963.3520393,"(170.0, 70.0, 180.00499999999997, 80.005)"
180-50,613999501.836723,"(180.0, -50.0, 190.00499999999997, -39.995)"
180-30,321776175.09675044,"(180.0, -29.999999999999993, 190.00499999999997, -19.994999999999997)"
180-20,3743026840.8102264,"(180.0, -20.0, 190.00499999999997, -9.995)"
180-10,7399083.519151324,"(180.0, -10.0, 190.00499999999997, 0.004999999999999999)"
1800,2663293.106281868,"(180.0, 0.0, 190.00499999999997, 10.005)"
18020,7817880.971211406,"(180.0, 20.0, 190.00499999999997, 30.004999999999992)"
18050,4269678527.677933,"(180.0, 49.99999999999999, 190.00499999999997, 60.00500000000001)"
18060,112709351191.56876,"(180.0, 59.99999999999999, 190.00499999999997, 70.005)"
18070,5102199617.46336,"(180.0, 70.0, 190.00499999999997, 80.005)"
